iter	Passed	Remaining
211	325	1208
212	325	1203
213	326	1199
214	327	1194
215	327	1189
216	328	1184
217	328	1179
218	329	1175
219	330	1170
220	330	1165
221	331	1161
222	332	1156
223	332	1152
224	333	1147
225	333	1143
226	334	1138
227	335	1134
228	335	1129
229	336	1125
230	336	1121
231	337	1117
232	338	1114
233	339	1111
234	340	1107
235	340	1103
236	341	1099
237	342	1095
238	342	1091
239	343	1088
240	344	1084
241	344	1080
242	345	1076
243	346	1072
244	346	1068
245	347	1064
246	347	1060
247	348	1057
248	349	1054
249	350	1050
250	350	1046
251	351	1043
252	352	1039
253	352	1036
254	353	1033
255	354	1029
256	355	1026
257	355	1023
258	356	1019
259	357	1016
260	357	1013
261	358	1009
262	359	1006
263	359	1003
264	360	999
265	361	996
266	361	993
267	362	989
268	363	986
269	363	983
270	364	980
271	365	977
272	365	973
273	366	970
274	367	967
275	367	964
276	368	961
277	369	958
278	369	955
279	370	952
280	371	949
281	371	946
282	372	943
283	373	940
284	373	937
285	374	934
286	375	932
287	375	929
288	376	926
289	377	923
290	377	920
291	378	917
292	379	914
293	379	911
294	380	909
295	381	906
296	381	903
297	382	900
298	383	898
299	383	895
300	384	893
301	385	890
302	386	888
303	386	885
304	387	882
305	388	880
306	388	877
307	389	875
308	390	872
309	390	870
310	391	867
311	392	865
312	393	862
313	393	860
314	394	858
315	395	856
316	396	853
317	396	850
318	397	848
319	397	845
320	398	843
321	399	840
322	400	838
323	400	836
324	401	833
325	401	831
326	402	828
327	403	826
328	403	823
329	404	821
330	405	818
331	405	816
332	406	813
333	406	811
334	407	808
335	408	806
336	408	804
337	409	801
338	409	799
339	410	797
340	411	794
341	411	792
342	412	790
343	413	787
344	413	785
345	414	783
346	415	780
347	415	778
348	416	776
349	416	774
350	417	771
351	418	769
352	418	767
353	419	765
354	419	762
355	420	760
356	421	758
357	421	756
358	422	754
359	422	751
360	423	749
361	424	747
362	424	745
363	425	743
364	425	741
365	426	738
366	427	736
367	427	734
368	428	732
369	429	730
370	429	728
371	430	726
372	430	724
373	431	722
374	432	720
375	432	718
376	433	716
377	434	714
378	434	712
379	435	710
380	435	708
381	436	706
382	437	704
383	437	702
384	438	700
385	438	698
386	439	696
387	440	694
388	440	692
389	441	690
390	441	688
391	442	686
392	443	684
393	443	682
394	444	680
395	445	678
396	445	676
397	446	675
398	446	673
399	447	671
400	448	669
401	448	667
402	449	665
403	449	663
404	450	661
405	451	660
406	451	658
407	452	656
408	453	654
409	453	652
410	454	651
411	454	649
412	455	647
413	456	646
414	457	644
415	457	642
416	458	641
417	459	639
418	459	637
419	460	635
420	461	634
421	461	632
422	462	630
423	462	628
424	463	627
425	464	625
426	464	623
427	465	621
428	465	620
429	466	618
430	467	616
431	467	615
432	468	613
433	469	611
434	469	609
435	470	608
436	471	606
437	471	605
438	472	603
439	473	602
440	473	600
441	474	598
442	474	597
443	475	595
444	476	593
445	476	592
446	477	590
447	478	589
448	478	587
449	479	585
450	479	584
451	480	582
452	481	581
453	481	579
454	482	577
455	482	576
456	483	574
457	484	572
458	484	571
459	485	569
460	486	568
461	486	566
462	487	565
463	487	563
464	488	562
465	489	560
466	489	559
467	490	557
468	491	555
469	491	554
470	492	552
471	492	551
472	493	549
473	494	548
474	494	546
475	495	545
476	495	543
477	496	542
478	497	540
479	497	539
480	498	537
481	498	536
482	499	534
483	500	533
484	500	531
485	501	530
486	502	529
487	502	527
488	503	526
489	504	524
490	504	523
491	505	521
492	505	520
493	506	518
494	507	517
495	507	516
496	508	514
497	509	513
498	509	511
499	510	510
500	510	508
501	511	507
502	512	506
503	512	504
504	513	503
505	513	501
506	514	500
507	515	499
508	515	497
509	516	496
510	517	494
511	517	493
512	518	492
513	519	490
514	519	489
515	520	487
516	520	486
517	521	485
518	522	483
519	522	482
520	523	481
521	523	479
522	524	478
523	525	477
524	525	475
525	526	474
526	527	473
527	527	471
528	528	470
529	529	469
530	529	467
531	530	466
532	530	465
533	531	463
534	532	462
535	532	461
536	533	459
537	534	458
538	534	457
539	535	455
540	535	454
541	536	453
542	537	452
543	537	450
544	538	449
545	539	448
546	539	447
547	540	445
548	540	444
549	541	443
550	542	441
551	542	440
552	543	439
553	544	438
554	544	436
555	545	435
556	546	434
557	546	432
558	547	431
559	547	430
560	548	429
561	549	427
562	549	426
563	550	425
564	550	424
565	551	422
566	552	421
567	552	420
568	553	419
569	553	417
570	554	416
571	555	415
572	555	414
573	556	412
574	557	411
575	557	410
576	558	409
577	558	408
578	559	406
579	560	405
580	560	404
581	561	403
582	561	401
583	562	400
584	563	399
585	563	398
586	564	397
587	564	395
588	565	394
589	566	393
590	566	392
591	567	390
592	567	389
593	568	388
594	569	387
595	569	386
596	570	384
597	570	383
598	571	382
599	572	381
600	573	380
601	573	379
602	574	378
603	575	377
604	575	375
605	576	374
606	576	373
607	577	372
608	578	371
609	578	369
610	579	368
611	579	367
612	580	366
613	581	365
614	581	364
615	582	363
616	583	361
617	583	360
618	584	359
619	585	358
620	585	357
621	586	356
622	586	355
623	587	354
624	588	352
625	588	351
626	589	350
627	589	349
628	590	348
629	591	347
630	591	346
631	592	344
632	592	343
633	593	342
634	594	341
635	594	340
636	595	339
637	596	338
638	596	337
639	597	335
640	597	334
641	598	333
642	599	332
643	599	331
644	600	330
645	601	329
646	601	328
647	602	327
648	603	326
649	603	325
650	604	323
651	604	322
652	605	321
653	606	320
654	606	319
655	607	318
656	608	317
657	608	316
658	609	315
659	609	314
660	610	313
661	611	311
662	611	310
663	612	309
664	612	308
665	613	307
666	614	306
667	614	305
668	615	304
669	616	303
670	616	302
671	617	301
672	618	300
673	618	299
674	619	298
675	619	297
676	620	296
677	621	294
678	621	293
679	622	292
680	622	291
681	623	290
682	624	289
683	624	288
684	625	287
685	626	286
686	626	285
687	627	284
688	627	283
689	628	282
690	629	281
691	629	280
692	630	279
693	631	278
694	631	277
695	632	276
696	632	275
697	633	274
698	634	273
699	634	272
700	635	270
701	635	269
702	636	268
703	637	267
704	637	266
705	638	265
706	638	264
707	639	263
708	640	262
709	640	261
710	641	260
711	641	259
712	642	258
713	643	257
714	643	256
715	644	255
716	645	254
717	645	253
718	646	252
719	646	251
720	647	250
721	648	249
722	648	248
723	649	247
724	650	246
725	650	245
726	651	244
727	651	243
728	652	242
729	653	241
730	653	240
731	654	239
732	655	238
733	655	237
734	656	236
735	656	235
736	657	234
737	658	233
738	658	232
739	659	231
740	659	230
741	660	229
742	661	228
743	661	227
744	662	226
745	663	225
746	663	224
747	664	223
748	664	222
749	665	221
750	666	220
751	666	219
752	667	218
753	667	217
754	668	216
755	669	215
756	669	215
757	670	214
758	671	213
759	671	212
760	672	211
761	673	210
762	674	209
763	674	208
764	675	207
765	676	206
766	676	205
767	677	204
768	677	203
769	678	202
770	679	201
771	679	200
772	680	199
773	681	198
774	681	197
775	682	196
776	682	195
777	683	195
778	684	194
779	684	193
780	685	192
781	685	191
782	686	190
783	687	189
784	687	188
785	688	187
786	689	186
787	689	185
788	690	184
789	691	183
790	691	182
791	693	182
792	694	181
793	694	180
794	695	179
795	696	178
796	697	177
797	698	176
798	699	175
799	700	175
800	700	174
801	701	173
802	702	172
803	703	171
804	703	170
805	704	169
806	705	168
807	706	167
808	707	166
809	707	166
810	708	165
811	709	164
812	710	163
813	711	162
814	711	161
815	712	160
816	713	159
817	713	158
818	714	157
819	715	156
820	715	156
821	716	155
822	717	154
823	718	153
824	718	152
825	719	151
826	720	150
827	721	149
828	722	148
829	722	148
830	723	147
831	724	146
832	725	145
833	726	144
834	726	143
835	727	142
836	728	141
837	729	140
838	729	140
839	730	139
840	731	138
841	731	137
842	732	136
843	733	135
844	733	134
845	734	133
846	735	132
847	736	131
848	736	131
849	737	130
850	738	129
851	739	128
852	739	127
853	740	126
854	741	125
855	741	124
856	742	123
857	743	122
858	743	122
859	744	121
860	745	120
861	745	119
862	746	118
863	747	117
864	748	116
865	749	115
866	750	115
867	752	114
868	753	113
869	754	112
870	755	111
871	755	110
872	756	110
873	757	109
874	757	108
875	758	107
876	759	106
877	759	105
878	760	104
879	760	103
880	761	102
881	762	101
882	762	101
883	763	100
884	764	99
885	764	98
886	765	97
887	766	96
888	767	95
889	767	94
890	768	94
891	769	93
892	769	92
893	770	91
894	770	90
895	771	89
896	772	88
897	772	87
898	773	86
899	774	86
900	774	85
901	775	84
902	775	83
903	776	82
904	777	81
905	777	80
906	778	79
907	778	78
908	779	78
909	780	77
910	781	76
911	781	75
912	782	74
913	783	73
914	783	72
915	784	71
916	785	71
917	785	70
918	786	69
919	786	68
920	787	67
921	788	66
922	788	65
923	789	64
924	789	64
925	790	63
926	791	62
927	791	61
928	792	60
929	793	59
930	793	58
931	794	57
932	794	57
933	795	56
934	796	55
935	796	54
936	797	53
937	798	52
938	798	51
939	799	51
940	800	50
941	800	49
942	801	48
943	801	47
944	802	46
945	803	45
946	803	44
947	804	44
948	805	43
949	805	42
950	806	41
951	807	40
952	807	39
953	808	38
954	808	38
955	809	37
956	810	36
957	811	35
958	812	34
959	813	33
960	814	33
961	815	32
962	815	31
963	816	30
964	817	29
965	817	28
966	818	27
967	819	27
968	819	26
969	820	25
970	821	24
971	821	23
972	822	22
973	823	21
974	823	21
975	824	20
976	824	19
977	825	18
978	826	17
979	827	16
980	828	16
981	828	15
982	829	14
983	830	13
984	830	12
985	831	11
986	832	10
987	832	10
988	833	9
989	834	8
990	834	7
991	835	6
992	835	5
993	836	5
994	837	4
995	837	3
996	838	2
997	838	1
998	839	0
999	840	0
